galaxy,file,gamma_quad,rmse_quad,gamma_lin,rmse_lin,n_points
UGC07399_rotmod,./profiles/UGC07399_rotmod_components_profile.csv,1.0,1.2742154872761273e-10,1.0,13.685874801747515,10
UGC07524_rotmod,./profiles/UGC07524_rotmod_components_profile.csv,1.0,1.5861588677601846e-10,1.0,14.45516515355457,31
UGC07559_rotmod,./profiles/UGC07559_rotmod_components_profile.csv,1.0,3.053737202812809e-10,1.0,7.0114541979042615,7
UGC07577_rotmod,./profiles/UGC07577_rotmod_components_profile.csv,1.0,6.122745458221845e-10,1.0,4.407191801202824,9
UGC07603_rotmod,./profiles/UGC07603_rotmod_components_profile.csv,1.0,1.7250533226431895e-10,1.0,10.061961487353331,12
UGC07608_rotmod,./profiles/UGC07608_rotmod_components_profile.csv,1.0,2.8003402620076826e-10,1.0,8.577745520796903,8
UGC07690_rotmod,./profiles/UGC07690_rotmod_components_profile.csv,1.0,1.1304709909860321e-10,1.0,13.291878553131768,7
UGC07866_rotmod,./profiles/UGC07866_rotmod_components_profile.csv,1.0,3.1884959972681426e-10,1.0,6.537648959891011,7
UGC08286_rotmod,./profiles/UGC08286_rotmod_components_profile.csv,1.0,1.4882366568276615e-10,1.0,12.825446287633255,17
UGC08490_rotmod,./profiles/UGC08490_rotmod_components_profile.csv,1.0,1.3485901551867693e-10,1.0,13.89353544856623,30
UGC08550_rotmod,./profiles/UGC08550_rotmod_components_profile.csv,1.0,1.991229264908122e-10,1.0,9.001976317968193,11
UGC08699_rotmod,./profiles/UGC08699_rotmod_components_profile.csv,0.9999999999998098,2.3081398990081874e-11,0.45764730529348785,38.90094913491467,41
UGC08837_rotmod,./profiles/UGC08837_rotmod_components_profile.csv,1.0,2.3715590073999197e-10,1.0,10.08051347152241,8
UGC09037_rotmod,./profiles/UGC09037_rotmod_components_profile.csv,1.0,3.519669511585242e-11,1.0,39.992542801566614,22
UGC09133_rotmod,./profiles/UGC09133_rotmod_components_profile.csv,0.9999999999999051,1.9879745776019794e-11,0.4269245857166363,52.662042898599864,68
UGC09992_rotmod,./profiles/UGC09992_rotmod_components_profile.csv,1.0,1.9451643249426986e-10,1.0,9.645797375492744,5
UGC10310_rotmod,./profiles/UGC10310_rotmod_components_profile.csv,1.0,1.3834146425212496e-10,1.0,14.472796058540938,7
UGC11455_rotmod,./profiles/UGC11455_rotmod_components_profile.csv,1.0,2.4505844903272598e-11,1.0,27.25448386052374,36
UGC11557_rotmod,./profiles/UGC11557_rotmod_components_profile.csv,1.0,9.117903707055845e-11,1.0,15.425785795772066,12
UGC11820_rotmod,./profiles/UGC11820_rotmod_components_profile.csv,1.0,2.700222777764735e-10,1.0,10.078894892004396,10
UGC11914_rotmod,./profiles/UGC11914_rotmod_components_profile.csv,0.9999999999998954,5.49237818334249e-12,0.4299190516182574,36.8891556832073,65
UGC12506_rotmod,./profiles/UGC12506_rotmod_components_profile.csv,1.0,4.257449749863797e-11,1.0,43.101101854711494,31
UGC12632_rotmod,./profiles/UGC12632_rotmod_components_profile.csv,1.0,1.772311427297777e-10,1.0,12.478748164827259,15
UGC12732_rotmod,./profiles/UGC12732_rotmod_components_profile.csv,1.0,1.381261767969968e-10,1.0,13.718431288043769,16
UGCA281_rotmod,./profiles/UGCA281_rotmod_components_profile.csv,1.0,5.29007894179303e-10,1.0,5.759381569930546,7
UGCA442_rotmod,./profiles/UGCA442_rotmod_components_profile.csv,1.0,3.3467049421340467e-10,1.0,8.17065137094399,8
UGCA444_rotmod,./profiles/UGCA444_rotmod_components_profile.csv,1.0,7.224293783783235e-10,1.0,3.7852825177195553,36
