galaxy,V_flat_kms,M_total_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total,disk_vs_gas_ratio
UGCA444_rotmod,15.689521721467191,132965272.92367823,116175466.98320182,16789805.940476447,0.0,0.0,0.14452109706521893
NGC3521_rotmod,180.51219399147251,96945031704.27248,7355658476.569262,89589373227.70326,0.0,0.0,12.179653733663892
NGC0891_rotmod,213.29598294000007,159576009962.2855,8069981731.991204,132582755881.19267,18923272349.101585,0.11858469423802455,16.429127138616078
UGC07690_rotmod,43.37948672073761,1413707833.3357167,481375538.2063741,932332295.1293432,0.0,0.0,1.9368086268015472
UGC05721_rotmod,31.605710564737638,1486780626.7592828,947551301.3360076,539229325.4232754,0.0,0.0,0.5690766554412248
UGC06787_rotmod,122.41310456776361,112543772486.9479,9484896866.386969,55131752482.42995,47927123138.131004,0.42585317764862807,5.812583231959906
UGC05764_rotmod,22.823275688237338,429333335.4911439,324320908.6523175,105012426.83882636,0.0,0.0,0.32379172614924767
NGC4013_rotmod,111.97036314541215,85656191628.25897,4945367170.462772,65288457986.0542,15422366471.741987,0.18004964006190965,13.201943503002772
NGC4559_rotmod,84.99102452455898,33697958433.786823,13092392786.333485,20605565647.453342,0.0,0.0,1.5738578870748894
DDO154_rotmod,18.226982292464143,390621003.52837855,336682840.5096149,53938163.018763706,0.0,0.0,0.16020466899091448
DDO064_rotmod,27.488815258955743,545756640.2492838,340544153.51745045,205212486.73183316,0.0,0.0,0.6026017026344793
NGC3769_rotmod,67.51264179207308,27493668664.845554,8610941672.641441,18882726992.204117,0.0,0.0,2.1928759606162522
UGC01281_rotmod,26.65534840303284,871232694.7578529,485665867.8835738,385566826.874279,0.0,0.0,0.7938931935952086
F583-4_rotmod,40.51719190424126,2713678146.5874763,398325047.32584095,2315353099.2616343,0.0,0.0,5.81272283730531
NGC4183_rotmod,64.2317986909034,18261635870.09698,6107132272.405056,12154503597.691923,0.0,0.0,1.9902145647985687
NGC5585_rotmod,49.732802334376856,5788439024.679656,2688242071.9239044,3100196952.755749,0.0,0.0,1.1532432235676675
NGC3953_rotmod,239.0847146494465,179591397728.4821,5126658302.435557,174464739426.0465,0.0,0.0,34.03088895999999
