galaxy,Npoints,data_quality_flag,has_bulge,bulge_size_kpc,gas_negative_flag,R_max_kpc,Mtot_Msun,Mgas_Msun,Mdisk_Msun,Mbul_Msun,bulge_to_total_at_Rmax,disk_vs_gas_ratio,Phi_N_Rmax,shear_mean,v_flat_kms
NGC3893_rotmod,10,ok,False,0.0,False,19.05,71812660906.9903,8774774145.768925,63037886761.22137,0.0,0.0,19.183390369028036,1.8040096439597637e-07,0.05099877294577059,179.4
NGC3917_rotmod,17,ok,False,0.0,False,14.86,30478483372.300816,3491609316.559752,26986874055.741066,0.0,0.0,16.917944257155675,9.815385445009198e-08,0.5463594450680267,137.2
NGC3949_rotmod,7,ok,False,0.0,False,7.07,43176266543.568665,3561923294.957237,39614343248.61143,0.0,0.0,30.601715056997403,2.9225267037589526e-07,0.2098337857300646,160.8
NGC3953_rotmod,8,ok,False,0.0,False,15.68,179591397728.4821,5126658302.435557,174464739426.0465,0.0,0.0,107.30896405205455,5.481157579446388e-07,0.12081862360822362,221.8
NGC3972_rotmod,10,ok,False,0.0,False,8.72,19146510850.67673,1833196922.5867841,17313313928.089943,0.0,0.0,17.9352595170884,1.0507659063809892e-07,0.500447605149336,127.4
NGC3992_rotmod,9,ok,False,0.0,False,46.02,266075071487.83557,21561134240.47665,244513937247.35895,0.0,0.0,25.901545672709,2.7668804128562286e-07,-0.05159215817917643,245.6
NGC4010_rotmod,12,ok,False,0.0,False,10.47,22583795381.408745,2769524060.2938623,19814271321.11488,0.0,0.0,12.19215580347456,1.0322456570474672e-07,0.5066355491699451,125.8
NGC4013_rotmod,36,ok,True,5.49,False,31.01,85656191628.25897,4945367170.462772,65288457986.0542,15422366471.741987,0.18004964006190965,26.75154226332522,1.3218732399069646e-07,-0.08269175436876036,176.4
NGC4051_rotmod,7,ok,False,0.0,False,12.19,85374841743.1386,4264509077.5883265,81110332665.55025,0.0,0.0,50.91653714390298,3.3516527873961734e-07,0.16790269973867375,153.6
NGC4068_rotmod,6,ok,False,0.0,False,2.33,490606519.630223,213668345.78553808,276938173.8446849,0.0,0.0,2.615659584524984,1.0076511617689338e-08,0.9253433140221824,28.78
NGC4085_rotmod,7,ok,False,0.0,False,6.2,28816501012.497597,900943352.4688337,27915557660.028755,0.0,0.0,55.2342263218582,2.224243717638018e-07,0.5939180407525554,127.6
NGC4088_rotmod,12,ok,False,0.0,False,21.48,128648861682.75436,12595443733.615084,116053417949.13931,0.0,0.0,21.93656916672396,2.866186766924132e-07,0.2210935635667203,169.8
NGC4100_rotmod,24,ok,False,0.0,False,22.76,69032394732.40137,5641107907.5163965,63391286824.884964,0.0,0.0,27.395800368814147,1.4514881592487672e-07,0.0388317481717382,160.4
NGC4138_rotmod,7,ok,True,2.61,False,18.58,47676775718.87312,2361350753.519375,36826221344.37969,8489203620.974055,0.1780574187950708,47.860044773047775,1.227987605647149e-07,-0.1365012420329425,157.0
NGC4157_rotmod,17,ok,True,1.74,False,29.61,121919759631.32205,12729199613.044489,107172789805.69476,2017770212.582751,0.0165499851597835,18.93997099562568,1.9704640061034822e-07,0.13417922748592653,185.2
NGC4183_rotmod,23,ok,False,0.0,False,21.02,18261635870.09698,6107132272.405056,12154503597.691925,0.0,0.0,3.9617003084495206,4.1575720378621595e-08,0.2305850407631107,110.8
NGC4214_rotmod,14,ok,False,0.0,False,5.63,1449855391.3828804,253637021.04942703,1196218370.3334525,0.0,0.0,9.613499574641954,1.2323926762310703e-08,0.12170580895037707,80.42
NGC4217_rotmod,19,ok,True,0.87,False,16.72,91792386230.47101,4339253303.444408,18977698294.941456,68475434632.08513,0.7459816379558757,10.031954571735026,2.6272609002584115e-07,0.3344406504267987,178.8
NGC4389_rotmod,6,ok,False,0.0,False,5.32,24924164453.934994,597575504.5712222,24326588949.363777,0.0,0.0,72.13333662295987,2.24203192112016e-07,0.7509615333442498,82.26
NGC4559_rotmod,32,review,False,0.0,True,20.97,33697958433.786823,13092392786.333485,20605565647.453346,0.0,0.0,6.331040090008952,7.69020603554589e-08,0.24555248845753538,120.8
NGC5005_rotmod,18,ok,True,0.49,False,11.47,201041020855.90234,7161170494.003103,173068321476.38474,20811528885.514503,0.10351881818403282,15.463896384710624,8.387916118152963e-07,0.07214728956531533,264.6
NGC5033_rotmod,22,ok,True,0.76,False,44.59,133467887279.08562,19026643242.50462,89223316840.8625,25217927195.718468,0.18894378048396748,13.729714641043856,1.4324257823019337e-07,-0.02491689313332189,193.2
NGC5055_rotmod,28,ok,False,0.0,False,54.59,173796223539.60123,22112801232.334187,151683422307.26706,0.0,0.0,40.688486302568315,1.5235617356047242e-07,0.01808513255215058,176.6
